"COMPANY_NUMBER","CO_NUMBER","VAT_NUMBER","NAME","TRADING_NAME","ALIAS_NAME","PREVIOUS_NAME1","PREVIOUS_NAME2","ADDRESS1","ADDRESS2","ADDRESS3","TOWN","ADDRESS5","ZIP","REGION","COUNTRY","PHONE","MARKETING_ALLOWED","EMAIL","WEBSITE","STATUS","DATE_OF_CHANGE","TYPE","LEGAL_FORM","INCORP_DATE","REG_TYPE","ACTIVITY_CODE","CREDITWORTHY","CREDITSCORE","CREDIT_SCORE_DEFINITION","CREDIT_LIMIT","LATEST_ACCOUNTS","CONSOLIDATED_ACCOUNTS","CURRENCY","LATEST_TURNOVER","PRE.TAX_PROFIT","PROFIT","EMPLOYEES","TURNOVER_BAND","TOTAL_FIXED_ASSETS","TOTAL_CURRENT_ASSETS","TOTAL_CURRENT_LIABILITIES","TOTAL_LONG_TERM_LIABILITIES","SHAREHOLDERS_FUNDS","NET_WORTH","WORKING_CAPITAL","CURRENT_RATIO","PRE.TAX_PROFIT_MARGIN","RETURN_ON_TOTAL_ASSETS_EMPLOYED","TOTAL_DEBT_RATIO","CURRENT_DEBT_RATIO","SHARE_CAPITAL"
1040260,1540260,5214024621,"Synapsa Centrum Medyczne Sp. z o.o.",,"525629148",,,"Sandomierska 23 lok. U - 3",,,"Warszawa",,"02-567","Mazowieckie","PL","",,"","",1,"28-11-2023","HEAD OFFICE","limited liability company",2023,"LIMITED","8622Z","N",,"",,"","","PLN",,,,,,,,,,,,,,,,,,
405946,10180,6790026473,"FAGRON Sp. z o.o.",,"350013075",,,"Pasternik 26",,,"Kraków",,"31-354","Małopolskie","PL","4812 3343514",,"biuro@fagron.pl","www.fagron.pl",1,"13-09-2023","HEAD OFFICE","limited liability company",1991,"LIMITED","2120Z","Y",4,"good condition, debts and liabilities are settled on time, promising prospects for the further development.",6000,"31-12-2022","N","PLN",151480.9,95524.56,87626.11,167,,30642.58,140417.61,37397.73,104.77,133557.69,133552.64,103019.88,3.75,63.06,55.84,0.28,0.28,5.05
1103742,3520,5490005408,"Stj Nieruchomości Sp. z o.o.",,"071000068",,,"Przemysłowa 29",,,"Chełmek",,"32-660","Małopolskie","PL","4833 8461222",,"um@jawor.pl","www.jawor.pl",1,"21-05-2024","HEAD OFFICE","limited liability company",1991,"LIMITED","6820Z","N",,"",,"31-12-2009","N","PLN",908.61,648.73,648.73,5,,4922.97,117.87,378.25,240.61,4421.99,-1324.47,-260.38,0.31,71.4,12.87,0.14,0.09,5746.46
139063,12421,8960000629,"Kopalnie Odkrywkowe Surowców Drogowych we Wrocławiu Sp. z o.o.",,"930851590",,,"Komuny Paryskiej 50",,,"Nasławice",,"55-050","Dolnośląskie","PL","4871 3618316",,"biuro@kosd.com.pl","www.kosd.com.pl",1,"03-10-2023","HEAD OFFICE","limited liability company",1956,"LIMITED","6820Z","Y",3,"acceptable condition, the company does not reveal significant problems.",1100,"31-12-2022","N","PLN",985.71,12.61,12.61,4,,12542.05,369.18,424.37,2161.86,10325,-56,-55.19,0.87,1.28,0.1,0.25,0.04,10381
124055,3868,7810046084,"Tubes International Sp. z o.o.",,"630115103",,,"Bystra 15a",,,"Poznań",,"61-366","Wielkopolskie","PL","4861 6530222",,"tubes@tubes-international.com","www.tubes-international.pl",1,"01-08-2023","HEAD OFFICE","limited liability company",1993,"LIMITED","4778Z","Y",3,"acceptable condition, the company does not reveal significant problems.",1100,"31-12-2022","N","PLN",176408.9,5863.48,4424.41,427,,44503.65,77835.2,71543.75,7613.78,43181.32,42906.32,6291.45,1.09,3.32,4.79,1.83,1.66,275
54495,6514,7690502839,"VOS LOGISTICS POLSKA Sp. z o.o.",,"590002424",,,"Al. Jerozolimskie 146 D",,,"Warszawa",,"02-305","Mazowieckie","PL","4822 5354900",,"bulk.poland@voslogistics.com","www.vospolska.com",1,"03-10-2023","HEAD OFFICE","limited liability company",1993,"LIMITED","4941Z","Y",3,"acceptable condition, the company does not reveal significant problems.",140,"31-12-2022","N","PLN",14829.67,208.66,101.76,44,,2244.2,7727.4,3511.68,177.99,6281.94,5278.94,4215.72,2.2,1.41,2.09,0.59,0.56,1003
,18920,5250007425,"Szkoła Główna Gospodarstwa Wiejskiego",,"000001784",,,"Nowoursynowska 166",,,"Warszawa",,"02-787","Mazowieckie","PL","4822 5931000",,"rektor@sggw.waw.pl","www.sggw.waw.pl",1,"22-08-2023","HEAD OFFICE","college",1918,"NON LIMITED","8542Z","N",,"",,"31-12-2022","N","PLN",492188.97,9707.6,9695.21,,,1840541.71,328192.37,320940.21,995.23,1846798.63,9695.21,7252.15,1.02,1.97,0.45,0.17,0.17,1837103.42
160927,10781,7441586760,"Szynaka-Meble Sp. z o.o.",,"511339065",,,"Dworcowa 20",,,"Lubawa",,"14-260","Warmińsko-mazurskie","PL","4889 6452128",,"info@szynaka.com.pl","www.szynaka.pl",1,"07-05-2024","HEAD OFFICE","limited liability company",2000,"LIMITED","3109Z","Y",3,"acceptable condition, the company does not reveal significant problems.",2900,"31-12-2023","N","PLN",773398.42,12088.85,11053.72,1007,,109052.17,251304.94,161700.14,33498.52,165158.45,151709.45,89604.81,1.55,1.56,3.35,1.18,0.98,13449
75707,6449,8580003107,"Wielobranżowe Przedsiębiorstwo Usługowo-Handlowe Progres Sp. z o.o.",,"005459275",,,"Szczecińska 1",,,"Chojna",,"74-500","Zachodniopomorskie","PL","4891 4141609",,"sekretariat@progres-chojna.com.pl","www.progres-chojna.com.pl",1,"22-08-2023","HEAD OFFICE","limited liability company",1988,"LIMITED","4941Z","Y",3,"acceptable condition, the company does not reveal significant problems.",90,"31-12-2022","N","PLN",31121.9,364.92,284.01,78,,4475.38,4850.77,5096.45,,4229.7,4179.7,-245.68,0.95,1.17,3.91,1.2,1.2,50
19827,16332,7390102722,"Eltel Networks Energetyka S.A.",,"510504190",,,"Gutkowo 81d",,,"Gutkowo",,"11-041","Warmińsko-mazurskie","PL","4889 5222520",,"olsztyn@eltelnetworks.com","www.eltelnetworks.pl",1,"21-05-2024","HEAD OFFICE","joint-stock company",1990,"LIMITED","4222Z","N",2,"moderate condition, probable temporary problems with solvency or keeping the delivery dates.",,"31-12-2023","N","PLN",155387.9,-11967.16,-12552.82,356,,26747.65,86573.55,52560.05,440.26,60320.89,53375.89,34013.5,1.65,-7.7,-10.56,0.88,0.87,6945
