"National.ID","Other.official.Number","Name","Name..local.language.","Street","Street..local.language.","Postcode","City","City..local.language.","Region","Country","Telephone.number","Telefax.number","Web.site","Web.site.1","Email","Email.1","Legal.form","Date.or.year.of.incorporation","Quoted.Unquoted","Status","Bankers","Bankers.1","Auditor","Auditor.1","RegistryNo","ISIN","EU.VAT","District","NIP"
"071000068","3520","Stj Nieruchomosci Sp. z o.o.","Stj Nieruchomości Sp. z o.o.","Przemyslowa 29","Przemysłowa 29","32-660","Chelmek","Chełmek","12","PL","4833 8461222","4833 8461277","www.jawor.pl",,"um@jawor.pl",,"2","1991","0",,"Bank Polska Kasa Opieki S.A. (PeKaO S.A.)",,,,,,,"oświęcimski","5490005408"
"630115103","3868","Tubes International Sp. z o.o.","Tubes International Sp. z o.o.","Bystra 15a","Bystra 15a","61-366","Poznan","Poznań","30","PL","4861 6530222","4861 6530220","www.tubes-international.pl",,"tubes@tubes-international.com",,"2","1993","0",,"Santander Bank Polska S.A.",,"Grant Thornton Polska Prosta spolka akcyjna|Lukasz Wojciechowski","Grant Thornton Polska Prosta spolka akcyjna|Lukasz Wojciechowski","124055",,"PL7810046084","Poznań","7810046084"
"005459275","6449","Wielobranzowe Przedsiebiorstwo Uslugowo-Handlowe Progres Sp. z o.o.","Wielobranżowe Przedsiębiorstwo Usługowo-Handlowe Progres Sp. z o.o.","Szczecinska 1","Szczecińska 1","74-500","Chojna","Chojna","32","PL","4891 4141609","4891 4142568","www.progres-chojna.com.pl",,"sekretariat@progres-chojna.com.pl",,"2","1988","0",,"BNP Paribas Bank Polska S.A.",,"Kancelarii Audytorskiej KONTO Marian Litwiniak|Marian Litwiniak",,"75707",,"PL8580003107","gryfiński","8580003107"
"590002424","6514","VOS LOGISTICS POLSKA Sp. z o.o.","VOS LOGISTICS POLSKA Sp. z o.o.","Al. Jerozolimskie 146 D","Al. Jerozolimskie 146 D","02-305","Warszawa","Warszawa","14","PL","4822 5354900","4822 5354999","www.vospolska.com",,"bulk.poland@voslogistics.com",,"2","1993","0",,"ING Bank Śląski S.A.",,"SW Audyt Sztanga, Wieczorek Sp. j|Wojciech Wieczorek",,"54495",,"PL7690502839","Warszawa","7690502839"
"350013075","10180","FAGRON Sp. z o.o.","FAGRON Sp. z o.o.","Pasternik 26","Pasternik 26","31-354","Krakow","Kraków","12","PL","4812 3343514","4812 3343522","www.fagron.pl",,"biuro@fagron.pl",,"2","1991","0",,"ING Bank Śląski S.A.",,"Kancelaria Bieglych Rewidentow KONTO Sp. z o.o|Alicja Oprych",,"405946",,"PL6790026473","Kraków","6790026473"
"511339065","10781","Szynaka-Meble Sp. z o.o.","Szynaka-Meble Sp. z o.o.","Dworcowa 20","Dworcowa 20","14-260","Lubawa","Lubawa","28","PL","4889 6452128","4889 6452128, 4889 6455362","www.szynaka.pl",,"info@szynaka.com.pl","info@szynaka.pl","2","2000","0",,"Bank Polska Kasa Opieki S.A. (PeKaO S.A.)",,"4AUDYT sp. z o.o|Karolina Filipiak","4AUDYT sp. z o.o.|Karolina Filipiak","160927",,"PL7441586760","iławski","7441586760"
"930851590","12421","Kopalnie Odkrywkowe Surowcow Drogowych we Wroclawiu Sp. z o.o.","Kopalnie Odkrywkowe Surowców Drogowych we Wrocławiu Sp. z o.o.","Komuny Paryskiej 50","Komuny Paryskiej 50","55-050","Naslawice","Nasławice","02","PL","4871 3618316","4871 3618835","www.kosd.com.pl",,"biuro@kosd.com.pl",,"2","1956","0",,"Santander Bank Polska S.A.",,"AMZ Sp. z o.o|Marek Zych",,"139063",,,"wrocławski","8960000629"
"510504190","16332","Eltel Networks Energetyka S.A.","Eltel Networks Energetyka S.A.","Gutkowo 81d","Gutkowo 81d","11-041","Gutkowo","Gutkowo","28","PL","4889 5222520, 48 695173028","4889 5238198","www.eltelnetworks.pl",,"olsztyn@eltelnetworks.com",,"1","1990","0",,"Danske Bank A/S S.A. Oddział w Polsce",,"KPMG Audyt Spolka z ograniczona odpowiedzialnoscia sp.k|Martyna Brakowska",,"19827",,"PL7390102722","olsztyński","7390102722"
"000001784","18920","Szkola Glowna Gospodarstwa Wiejskiego","Szkoła Główna Gospodarstwa Wiejskiego","Nowoursynowska 166","Nowoursynowska 166","02-787","Warszawa","Warszawa","14","PL","4822 5931000","4822 5931087, 4822 5931089","www.sggw.waw.pl",,"rektor@sggw.waw.pl",,"38","1918","0",,"Bank Polska Kasa Opieki S.A. (PeKaO S.A.)",,"ECOVIS POLAND Audit, Tax & Accounting Sp. z o.o|Michal Baranski",,,,"PL5250007425","Warszawa","5250007425"
"000001293","19393","Uniwersytet im. Adama Mickiewicza w Poznaniu","Uniwersytet im. Adama Mickiewicza w Poznaniu","Wieniawskiego 1","Wieniawskiego 1","61-712","Poznan","Poznań","30","PL","4861 8294000, 4861 8294371","4861 8294111","www.amu.edu.pl",,"rectorof@amu.edu.pl",,"38","1919","0",,"Santander Bank Polska S.A.","Powszechna Kasa Oszczędności Bank Polski S.A. (PKO BP S.A.)","ECOVIS Poland Sp. z o.o|Malgorzata Slomczynska",,,,"PL7770006350","Poznań","7770006350"
