"National.ID","Main.industry.code","Secondary.industry.code","Textual.description.of.activity","Main.industry.code.NACE2","Secondary.industry.code.NACE2"
"071000068","6021",,,"6820",
"630115103",,,"Production: rubber products; Trade: manufactured goods","4778",
"005459275","6024",,"Services: freight transport","4941",
"590002424","6024",,"Services: transport","4941",
"350013075","2440","5146","Trade: pharmaceutical products","2120","2110"
"511339065","3614",,"Production: furniture","3109",
"930851590","1411",,"Production: mining and processing of stone","6820",
"510504190","4525","4521","Services: design and assembly related to power engineering","4222",
"000001784","8030",,"Services: education","8542",
"000001293","8030",,"Services: education","8542",
"790128449","5151",,"Trade: liquid fuels","4671","4673"
"000288981","8030",,"Services: education","8542",
"430602447","5212","5248","Trade: carpets, floor linings","4120",
"190251335","5153","2811","Production: metal products, roofing, steel structures","2511",
"691530091","5030",,"Trade: motor vehicle parts and accessories","4531",
"770726545","2010",,"Services: cutting and impregnation of wood","1610",
"011944474","2875",,"Production: shop and warehouse shelves","3101",
"270544647","4100",,"Services: collection, purification and distribution of water","3600","3700"
"634392236","5010","5020","Trade: motor vehicles, parts; Services: servicing","4511",
"930605878","5010",,"Trade: special-use motor vehicles","4511",
"570302283","9000",,"Services: waste disposal","3811",
"010862768","5190","5165","Trade: manufactured goods, tools","2573",
"190279500","2874",,"Production: joints, screws, chains","2594",
"012244299","6521","7121","Services: financial in the area of operational leasing","6491","7712"
"012853986","5190",,"Trade: proffessional audio and video equipment","4690",
"510884205","8030",,"Services: higher education","8542",
"631255378","5135",,"Trade: tobacco products","4635",
"170919369","6021",,"Services: transport","4939",
"013160890","7411",,"Services: legal practice","6910",
"230069410","5131",,"Trade: citrus fruit","4631",
"812442100","5510",,,"5510",
"004610793","5146","5230","Trade: phramaceutical products","4646",
"012250271","2442",,,"2120",
"590757832","2640",,"Production: concrete products","2361",
"290760306","7032",,"Services: management of real estate","6832",
"472762508","5157",,"Trade: metal waste and scrap; Services: letting of real estate","4677",
"012926952","7420",,,"7112",
"272036412","4030",,,"2011",
"190783368","5190",,,"4673",
"472945976","5248",,,"3511",
"270548378","7020",,,"6810",
"192638937",,,,"4332",
"011133557","2956",,,"3320",
"932780545","7220","3002",,"4690",
"070834179","7020",,,"6820",
"072826770","2852",,,"2562",
"852651568","9000",,"Services: sewage and refuse disposal, sanitation services","5221",
"311610002","7412",,,"6920",
"003526990","7260",,,"6209",
"933002152","0141",,,"0161",
"140012262","6330",,,"7911",
"200014674","7011","7012",,"6820",
"340052634","5114",,,"2893",
"140415801","5180",,,"6201",
"180191262","5030","5020",,"4531",
"020704346","7020",,"Services: letting of real estate","6820",
"141343682","7220",,,"6209",
"020745859","7414",,,"6311",
"020817441","5119",,,"4619",
"141598293","5010",,,"4511",
"120714838",,,,"6201",
"141734419","7240",,,"4110",
"300904710",,,,"8621",
"141785658","2221",,,"7721",
"200279697","7460","4531",,"8010","4321"
"220827901","2670",,,"2370",
"021059267","7412",,,"6920","7022"
"142070660","6720",,,"6629",
"142098405","4521",,,"4222",
"142142520","7220",,,"6201",
"241503697","7020",,,"4120",
"142318114",,,,"5610",
"142737590",,,,"7740",
"142851080",,,,"5520",
"142866991","7414",,,"6209","6201"
"301716211","1542",,,"4631",
"180711483",,,,"4120",
"021704578","7450",,,"7810",
"145720526",,,,"6820",
"242807353",,,,"4941",
"242873108",,,,"6820",
"101403760",,,,"6622",
"101425862",,,,"4791",
"302142730","5151",,,"4673",
"341338798","7220",,,"6201",
"146470190",,,,"6201",
"122776631",,,,"7312",
"341410308",,,,"4941",
"146583215",,,,"6201",
"122860426",,,,"5224",
"146749265",,,,"5229",
"022282694",,,,"6820",
"022277760",,,,"6399",
"302577830",,,,"4941",
"022321543",,,,"4511",
"146975270",,,,"4759",
"147055599",,,,"5811",
"302629773",,,,"2016",
"147137676",,,,"7219",
"147277377",,,,"1013",
"146748828",,,,"6920",
"147264593",,,,"6820",
"101335024",,,,"6910",
"147353799",,,,"8299",
"181141906",,,,"8559",
"321556832",,,,"7739",
"147355255","7260",,,"6209",
"147440506",,,,"2059",
"360217083",,,,"7120",
"360225711",,,,"6201",
"360633232",,,,"6820",
"360701235",,,,"7022",
"361501691",,,,"4646",
"361503922",,,,"4941",
"222182590",,,,"5520",
"362217064",,,,"7820",
"362418868",,,,"7219",
"363281495",,,,"6920","6499"
"363576090",,,,"3514",
"363788188",,,,"4677",
"363905866",,,,"2599",
"363923226",,,,"4399",
"364108439",,,,"5210",
"364394155",,,,"4613",
"364737359",,,,"7022",
"365224372",,,,"4520",
"365481229",,,,"7911",
"364718037",,,,"6820",
"366135080",,,,"1011",
"366661962",,,,"4759",
"366712323",,,,"4941",
"367033104",,,,"4519",
"367959534",,,,"7320",
"368033566",,,,"0149",
"368227164",,,,"6201",
"368972063",,,,"4711",
"369113020",,,,"3511",
"369216688",,,,"1089",
"369822644",,,,"8810","7810"
"380934060",,,,"5610",
"381802336",,,,"4711",
"382569445",,,,"8810",
"382576965",,,,"7219",
"382767040",,,,"8130",
"383658642",,,,"0128",
"384630551",,,,"6311",
"384837358",,,,"2312",
"385461205",,,,"6810",
"522243017",,,,"3240",
"525629148",,,,"8622",
