"National.ID","Branch.Name","Branch.ID","Branch.Street","Branch.Postcode","Branch.City","Branch.Region","Branch.Telephone.number","Branch.Telefax.number","The.main.industry.code","Director","Number.of.employees","Employment.Year","Validity.date"
"000001293","Wydawnictwo Naukowe Uniwersytetu Im. Adama Mickiewicza",,"Feliksa Nowowiejskiego 55","61-743","Poznań","30",,,,,,,"20110930"
"000001784","Szkoła Główna Gospodarstwa Wiejskiego w Warszawie Rolniczy Zakład Doświadczalny w Brwinowie",,"Dworska 5","05-840","Brwinów","14",,,,,,,"20140804"
"000001784","Szkoła Główna Gospodarstwa Wiejskiego w Warszawie Rolniczy Zakład Doświadczalny Wilanów-Obory",,"Obory 8","05-520","Konstancin-Jeziorna","14",,,,,,,"20140804"
"000001784","Szkoła Główna Gospodarstwa Wiejskiego w Warszawie Rolniczy Zakład Doświadczalny w Żelaznej",,"Żelazna B/N","96-116","Dębowa Góra","10",,,,,,,"20140804"
"000001784","Szkoła Główna Gospodarstwa Wiejskiego w Warszawie Leśny Zakład Doświadczalny w Rogowie",,"Akademicka 20","95-063","Rogów","10",,,,,,,"20140804"
"000001784","Niepubliczny Zakład Opieki Zdrowotnej Szkoły Głównej Gospodarstwa Wiejskiego w Warszawie",,"Nowoursynowska 161","02-787","Warszawa","14",,,,,,,"20140804"
"000001784","Szkoła Główna Gospodarstwa Wiejskiego w Warszawie Wydawnictwo SGGW",,"Nowoursynowska 161","02-787","Warszawa","14",,,,,,,"20140804"
"000288981","Zakład Usług Pralniczych i Różnych Max Przy Uniwersytecie Medycznym Im.piastów Śląskich We Wrocławiu",,"Borowska 213","50-556","Wrocław","02",,,,,,,"20141021"
"000288981","Zarząd Inwestycji Uniwersytetu Medycznego Im.piastów Śląskich We Wrocławiu",,"Al. Armii Krajowej 1","50-541","Wrocław","02",,,,,,,"20141021"
"003526990","Bps Polska Sp. z o.o. Oddział w Piekarach Śląskich",,"Oświęcimska 92","41-947","Piekary Śląskie","24",,,,,,,"20240711"
"004610793","Miralex Sp. z o.o. Oddział w Poznaniu",,"św. Szczepana 25","61-465","Poznań","30",,,,,,,"20240627"
"004610793","Miralex Sp. z o.o. 1 Oddział w Luboniu",,"Krańcowa 4","62-030","Luboń","30",,,,,,,"20240627"
"004610793","Miralex Sp. z o.o. 2 Oddział w Luboniu",,"Krańcowa 6","62-030","Luboń","30",,,,,,,"20240627"
"005459275","Wielobranżowe Przedsiębiorstwo Usługowo-Handlowe Progres Sp. z o.o. w Chojnie Oddział w Bielinku",,"Bielinek 54 lok. 2","74-520","Bielinek","32",,,,,,,"20230704"
"010862768","Sandvik Polska Sp. z o.o. Oddział w Katowicach",,"Pukowca 7","40-847","Katowice","24",,,,,,,"20240709"
"010862768","Sandvik Polska Sp. z o.o. Oddział Mining And Rock Technology w Tychach",,"Strefowa 10","43-100","Tychy","24",,,,,,,"20240709"
"011133557","Polchip Sp. z o.o. Oodział w Łodzi",,"Wersalska 47 lok. 75","91-212","Łódź","10",,,,,,,"20231215"
"011944474","Mago S.A. Oddział w Gliwicach",,"Piastowska 2","44-122","Gliwice","24",,,,,,,"20240705"
"011944474","Mago S.A. Oddział w Rawie Mazowieckiej",,"Opoczyńska 16","96-200","Rawa Mazowiecka","10",,,,,,,"20240705"
"012244299","Scania Finance Polska Sp. z o.o. Oddział Kowale",,"Energetyczna 17","80-180","Kowale","22",,,,,,,"20240626"
"012244299","Scania Finance Polska Sp. z o.o. Oddział w Baranowie",,"Armii Krajowej 87","96-314","Baranów","14",,,,,,,"20240626"
"012244299","Scania Finance Polska Sp. z o.o. Oddział w Rzgowie",,"Rudzka 35 B","95-030","Rzgów","10",,,,,,,"20240626"
"012244299","Scania Finance Polska Sp. z o.o. Oddział w Szczecinie",,"Struga 80","70-777","Szczecin","32",,,,,,,"20240626"
"012244299","Scania Finance Polska Sp. z o.o. Oddział w Krakowie",,"Tyniecka 231","30-376","Kraków","12",,,,,,,"20240626"
"012244299","Scania Finance Polska Sp. z o.o. Oddział w Tarnowie Podgórnym",,"Poznańska 171","62-080","Tarnowo Podgórne","30",,,,,,,"20240626"
"012244299","Scania Finance Polska Sp. z o.o. Oddział we Włocławku",,"Krzywa Góra 26","87-800","Włocławek","04",,,,,,,"20240626"
"012244299","Scania Finance Polska Sp. z o.o. Oddział w Świdniku",,"Piasecka 20","21-040","Świdnik","06",,,,,,,"20240626"
"012244299","Scania Finance Polska Sp. z o.o. Oddział w Pietrzykowicach",,"Fabryczna 21","55-080","Pietrzykowice K/Wrocławia","02",,,,,,,"20240626"
"012244299","Scania Finance Polska Sp. z o.o. Oddział w Sandomierzu",,"Trześniowska 7 a","27-600","Sandomierz","26",,,,,,,"20240626"
"012244299","Scania Finance Polska Sp. z o.o. Oddział w Gliwicach",,"Rybnicka 197","44-122","Gliwice","24",,,,,,,"20240626"
"012244299","Scania Finance Polska Sp. z o.o. Oddział w Dobrem",,"Fabryczna 10","88-210","Dobre","04",,,,,,,"20240626"
"012244299","Scania Finance Polska Sp. z o.o. Oddział w Choroszczy",,"Warszawska 76","06-070","Choroszcz","20",,,,,,,"20240626"
"012244299","Scania Finance Polska Sp. z o.o. Oddział w Topoli Królewskiej",,"Topola Królewska 66","99-100","Topola Królewska","10",,,,,,,"20240626"
"012244299","Scania Finance Polska Sp. z o.o. Oddział w Bielsku - Białej",,"Międzyrzecka 250","43-382","Bielsko-Biała","24",,,,,,,"20240626"
"012244299","Scania Finance Polska Sp. z o.o. Oddział w Grodzisku Mazowieckim",,"Spółdzielcza 9","05-825","Grodzisk Mazowiecki","14",,,,,,,"20240626"
"012244299","Scania Finance Polska Sp. z o.o. Oddział Nr 1 w Zielonej Górze",,"Fabryczna 23A","65-463","Zielona Góra","08",,,,,,,"20240626"
"012250271","Medicofarma S.A. Oddział w Radomiu",,"Kozienicka 97","26-600","Radom","14",,,,,,,"20230821"
"012250271","Medicofarma S.A. Oddział w Lublinie",,"Ludwika Zamenhofa 29-31","20-453","Lublin","06",,,,,,,"20230821"
"012853986","Jbd S.A. w Łodzi Oddział w Piasecznie",,"Przesmyckiego 33","05-500","Piaseczno","14",,,,,,,"20240624"
"012926952","Egis Poland Sp. z o.o. Oddział w Katowicach",,"al. Wojciecha Korfantego 193","40-153","Katowice","24",,,,,,,"20240603"
"013160890","G.Domański,K.Zakrzewski,J.Palinka sp.k. Oddział w Poznaniu",,"Paderewskiego 8","61-770","Poznań","30",,,,,,,"20240429"
"013160890","G.Domański,K.Zakrzewski,J.Palinka sp.k. Oddział we Wrocławiu",,"Słubicka 18","53-615","Wrocław","02",,,,,,,"20240429"
"020704346","Zakrzów Ucińska sp.j. Oddział Szczerców",,"Tomasza Tenusa 1","97-420","Szczerców","10",,,,,,,"20240305"
