"National.ID","Name","National.ID.of.the.subsidiary","ISO.country.code","Direct.percentage.held","Validity.date"
"071000068","Lasertec S.A. w Restrukturyzacji","276072416",,"31.41","20221231"
"630115103","Tubes Engineering Sp. z o.o.","385646880",,"80","20200226"
"630115103","TI Production Sp. z o.o.","301597025",,"90","20220517"
"005459275","Przedsiębiorstwo Zaopatrzenia i Zbytu Pozbet Sp. z o.o.","810726744",,"10","20190716"
"005459275","Przedsiębiorstwo Usługowo-Produkcyjne Pomot Sp. z o.o.","810045369",,"86.38","20240523"
"590002424","Franck And Tobiesen Poland Company Limited W Upadłości","190010181",,"100","20210101"
"350013075","Przedsiębiorstwo Produkcyjno-Handlowe Galfarm Sp. z o.o.","350724882",,"100","20220303"
"350013075","Fagron Care Sp. z o.o.","385131330",,"99","20220308"
"511339065","Mazurskie Meble Szynaka Living Sp. z o.o.","280228401",,"57","20210115"
"511339065","Mazurskie Meble Szynaka-Interline Sp. z o.o.","280228424",,"24","20240301"
"930851590","Pol-Skal Kopalnia Granitu Sp. z o.o. w likwidacji","930466359",,"100","20110803"
"930851590","Kopalnie Odkrywkowe Surowców Drogowych we Wrocławiu Sp. z o.o. sp.k.",,,,"20191030"
"510504190","Eltel Networks Toruń S.A.","870513059",,"100","20131231"
"510504190","Polskie Sieci Morskie S.A. w Likwidacji","142908502",,,"20121012"
"000001784","Firma Konsultingowa Kurs-Ar Sp. z o.o. w likwidacji","001417564",,"100","20121105"
"000001784","SGGW Med Sp. z o.o. w Likwidacji","017439932",,"100","20201229"
"000001784","Inno Tech4life Sp. z o.o.","389858218",,"100","20220701"
"000001784","Centrum Medycyny Translacyjnej Szkoły Głównej Gospodarstwa Wiejskiego Sp. z o.o.","389111790",,"100","20240206"
"000001293","Poznańskie Innowacje Sp. z o.o. w likwidacji","367014012",,"33.33","20170529"
"000001293","Amu Innovation Sp. z o.o.","524173396",,"100","20231110"
"790128449","Oleckie Przedsiębiorstwo Robót Inżynieryjnych Sp. z o.o. w Likwidacji","790248610",,"39","20111025"
"790128449","Trans-Auto Sp. z o.o.","511440605",,"99.54","20190429"
"000288981","Uniwersytecki Szpital Kliniczny Im. Jana Mikulicza-Radeckiego we Wrocławiu","000289012",,,"20120124"
"000288981","Dolnośląskie Akademickie Centrum Onkologii Spółka z Ograniczoną Odpowiedzilanością w likwidacji","932621456",,"40","20191026"
"000288981","Ośrodek Badawczo - Naukowo - Dydaktyczny Chorób Otępiennych Im. Księdza Henryka Kardynała Gulbinowicza - Ośrodek Alzheimerowski Sp. z o.o.","020559720",,"100","20220915"
"000288981","Data Techno Park Sp. z o.o.","020113562",,"20.66","20231129"
"000288981","Medyczne Centrum Innowacji Wrocław Sp. z o.o.","932711350",,"100","20240606"
"000288981","Umed Komerc Sp. z o.o.","361550287",,"100","20240611"
"430602447","Clip Sp. z o.o.","432664777",,"98.07","20191018"
"430602447","Dobry Dom Sp. z o.o.","431124850",,"94.01","20240124"
"190251335","Borga Installation Sp. z o.o.","192612145",,"100","20130520"
"691530091","PRZEDSIĘBIORSTWO HANDLOWE STENMOT - 2 Sp. z o.o.","932056016",,"100","20110418"
"691530091","Autodistribution Polska Aftermarket Sp. z o.o.","690696808",,"100","20130822"
"691530091","Hurtownia Artykułów Motoryzacyjnych Franciszek Stachura Sp. z o.o.","357211482",,"100","20100129"
"691530091","ELIT PL Sp. z o.o.","243441919",,"100","20190110"
"770726545","SŁAWODRZEW Sp. z o.o. w Upadłości","770527828",,"17","20210114"
"770726545","Przedsiębiorstwo Transportowo-Usługowe Gryf-Trans Sp. z o.o. w likwidacji","770938840",,"34","20210101"
"011944474","Hemitech Sp. z o.o.","361372450",,"23.94","20220414"
"011944474","Enkor Sp. z o.o.","383014465",,"20","20220711"
"011944474","Flow360 Sp. z o.o.","384651398",,"70","20221004"
"011944474","Hemilab Sp. z o.o. Sp.K.","242886074",,,"20230720"
"011944474","Hemilab Sp. z o.o.","242766068",,"100","20230803"
"011944474","MGL Sp. z o.o.","015877361",,"75","20240611"
"270544647","Aqua Progress Sp. z o.o.","523175370",,"100","20221202"
"634392236","Auto - Studio Sp. z o.o.","300687424",,"100","20190118"
"634392236","Auto Galeria Sp. z o.o.","631263567",,"100","20190701"
"634392236","Bemo Motors Serwis Sp. z o.o. w likwidacji","143004599",,"100","20190816"
"634392236","Bemo Motors Serwis Sp. z o.o. sp.k.","145854215",,,"20210227"
"634392236","Auto Bruno Sp. z o.o.","320067918",,"100","20220519"
"634392236","Res Motors Sp. z o.o.","690032907",,"99.12","20230330"
"634392236","Auto Club Sp. z o.o.","300500101",,"100","20240202"
"930605878","Polska Liga Koszykówki Kobiet Sp. z o.o. w likwidacji","932657508",,"51.72","20140424"
"930605878","Ma-Gutt Sp. z o.o. w likwidacji",,,"98.2","20210315"
"570302283","Eneris Dolny Śląsk Sp. z o.o.","368584970",,"100","20231025"
"010862768","SANDVIK BAILDONIT S.A.","272342072",,"100","20070921"
"010862768","Sandvik Mining And Construction Sp. z o.o.","272334173",,,"20160609"
"190279500","Simpson Strong - Tie Sp. z o.o.","013101627",,"100","20221221"
"012244299","Scania Insurance Polska Sp. z o.o.","146892070",,"100","20230206"
"012244299","Man Financial Services Polska Sp. z o.o.","526733149",,"100","20240625"
"012853986","Olab Sp. z o.o.","016217017",,"100","20221201"
"510884205","Magnetium Sp. z o.o.","281546669",,"49","20160926"
"510884205","Zakład Produkcyjno-Doświadczalny Pozorty Sp. z o.o.","004459681",,"100","20190713"
"510884205","Zakład Produkcyjno - Doświadczalny Łężany Sp. z o.o.","380306440",,"100","20220202"
"510884205","Zakład Produkcyjno-Doświadczalny-Bałcyny Sp. z o.o.","510287969",,"100","20230824"
"510884205","Innoinvest Uwm Sp. z o.o.","364549209",,"100","20230921"
"631255378","Dziembor i Spółka Sp. z o.o.","302354419",,"100","20130924"
"170919369","Pks International Cargo S.A.","531010935",,"2.48","20221231"
"013160890","Dzp Compliance P.S.A.","520496501",,"100","20231110"
"230069410","Eurofruco Sp. z o.o.","231090027",,"50","20191028"
"230069410","Citrofruits II Sp. z o.o.","022279924",,"100","20180914"
"230069410","Goldfinch Investments Bis Sp. z o.o.","146765809",,"18.39","20221031"
"230069410","Przedsiębiorstwo Produkcji Ogrodniczej Siechnice Sp. z o.o.","930346276",,"100","20240112"
