"National.ID","Currency","Denomination","Closing.date.of.statement","Type.of.statement","Accounting.practice","Number.of.months","Fixed.assets","intangible.fixed.assets","tangible.fixed.assets","other.fixed.assets","Current.assets","stocks","debtors","other.current.assets","cash.and.cash.equivalent","Total.assets","Shareholders.Funds","capital","other.shareholders.funds..incl..reserves.","Non.current.liabilities","long.term.debt","other.non.current.liabilities..incl..provisions.","Current.Liabilities","loans","creditors","other.current.liabilities","Total.shareholders.funds.and.liabilities","Working.capital","Number.of.employees","Operating.revenue","Sales","Costs.of.goods.sold","Gross.profit","Other.operating.expenses","Operating.P.L","Financial.revenue","Financial.expenses","Financial.P.L","P.L.before.taxation","Taxation","P.L.after.taxation","Extraordinary.and.other.revenue","Extraordinary.and.other.expenses","Extraordinary.and.other.P.L","P.L.for.the.period","Export.turnover","Material.costs","Costs.of.employees","Depreciation","Interest.paid","Cash.flow","Added.value","Provisions","Own.Shares","Called.Up.Share.Capital"
"630115103","PLN","3","20231231","1","0","12","43255","1484","36632","5138","86238","56827","25642","3768","2796","129493","55790","275","55515","16638","8374","8265","57064","23378","21335","12351","129493","61134",,"215707","212159",,,,"9357","1142","3905","-2762","6595","1986","4609",,,"-263","4561",,"104201","57356","5030","2972","9592","71905","5288",,
"630115103","PLN","3","20231231","0","0","12","46806","1446","32402","12958","68506","44252","23037","1217","671","115312","42584","275","42309","14224","6101","8124","58503","23376","24498","10628","115312","42791","423","188745","185034",,,,"3439","977","3210","-2233","1206","843","363",,,,"363",,"102885","46829","4377","2806","4740","55218","5200",,
"630115103","PLN","3","20221231","1","0","12","41109","1810","33739","5560","94942","65328","25432","4182","3742","136051","54656","275","54381","12658","5336","7322","68738","26860","29621","12258","136051","61140",,"205864","202297",,,,"12656","543","2994","-2451","10206","2418","7787",,,"-131","7656",,"100465","52450","4474","2027","12129","69025","4763",,
"630115103","PLN","3","20221231","0","0","12","44504","1722","29635","13147","77835","52638","22957","2240","1840","122339","43181","275","42906","12272","5215","7056","66886","24820","32238","9827","122339","43357","427","179977","176409",,,,"8221","22","2379","-2358","5863","1439","4424",,,,"4424",,"98437","42533","3839","1897","8263","54133","4658",,
"630115103","PLN","3","20211231","1","0","12","34963","1844","27355","5764","78037","50657","24044","3336","2915","112999","48769","275","48494","8993","2702","6291","55237","24851","20691","9695","112999","54010",,"178658","175543",,,,"9855","217","1008","-791","9064","2191","6873",,,"-299","6573",,"89014","44902","4194","607","10767","58467","4202",,
"630115103","PLN","3","20211231","0","0","12","38867","1748","23766","13353","63861","40575","21943","1343","1014","102727","39717","275","39442","8426","2435","5991","54584","23001","23498","8085","102727","39019","414","158705","155302",,,,"7254","26","1054","-1028","6226","1615","4611",,,,"4611",,"87242","37111","3574","562","8185","47473","4105",,
"630115103","PLN","3","20201231","1","0","12","31817","2125","24962","4730","62824","38289","21095","3440","3142","94641","41967","275","41692","9813","3163","6650","42861","20778","14165","7918","94641","45219","528","155666","152895",,,,"7435","49","2219","-2170","5265","1435","3830",,,"80","3910",,"76727","40383","4183","694","8093","50605","3551",,
"630115103","PLN","3","20201231","0","0","12","34594","2103","21906","10585","51198","30458","19157","1583","1312","85792","35716","275","35441","7498","2716","4782","42579","19358","16530","6690","85792","33085","414","137422","134196",,,,"6097","17","3672","-3654","2443","1077","1366",,,,"1366",,"73989","33283","3561","648","4927","39935","3467",,
"005459275","PLN","3","20221231","0","0","12","4475","8","3470","998","4851","987","2992","871","275","9326","4230","50","4180",,,,"5096","1951","1906","1239","9326","2073","78","31563","31122",,,,"636","14","285","-271","365","81","284",,,,"284",,"13712","6253","454","282","738","7354",,,
"005459275","PLN","3","20211231","0","0","12","4952","35","3812","1104","4831","683","2902","1246","769","9783","3946","50","3896",,,,"5838","2677","2017","1143","9783","1568","77","30305","29735",,,,"560","17","129","-113","447","101","346",,,,"346",,"10062","3745","894","128","1241","5216",,,
"005459275","PLN","3","20201231","0","0","12","5291","32","4251","1007","6677","600","2781","3296","2933","11968","6950","50","6900","1250","1250",,"3769","794","1787","1188","11968","1594","72","24309","24003",,,,"577","59","89","-30","547","46","501",,,,"501",,"7864","3389","1432","76","1933","5444",,,
